corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-fra-ext2	FRA20009_Voisenon_Histoire	FRA20009	NA	Histoire de la Félicité: MiMoText edition	NA	NA	M	viaf:21146;wikidata:Q2976734	1751	1751	NA	1781	NA	bgrf:51.42	fra	10820	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20012_Crebillon_Conte	FRA20012	Claude Prosper Jolyot de Crébillon	Ah quel conte !: MiMoText edition	1707	1777	M	viaf:24600044;wikidata:Q733161	1751	1751	NA	1779	NA	bgrf:54.13	fra	135187	NA	NA	long	unspecified	T0
ELTeC-fra-ext2	FRA20097_Tiphaigne_Amilec	FRA20097	NA	Amilec, ou la Graine d'Hommes qui sert à peupler les planètes: MiMoText     edition	NA	NA	M	viaf:2477613;wikidata:Q2958069	1753	1753	NA	1754	NA	bgrf:53.33	fra	13080	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20025_Morelly_Naufrage	FRA20025	NA	Naufrage des Iles Flottantes: MiMoText edition	NA	NA	M	viaf:120700248;wikidata:Q289139	1753	1753	NA	1753	NA	bgrf:53.26 wikidata:Q56391765	fra	86483	NA	NA	medium	unspecified	T0
ELTeC-fra-ext2	FRA20011_Crebillon_Nuit	FRA20011	NA	La Nuit et le moment, ou les Matines de Cythère, dialogue: MiMoText edition	NA	NA	M	viaf:24600044;wikidata:Q733161	1755	1755	NA	1756	NA	bgrf:55.16 wikidata:Q30738391	fra	31179	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20073_Riccoboni_LettresFanni	FRA20073	NA	Lettres de Fanni Butler à Milord Charles Alfred de Caitombridge: MiMoText edition	NA	NA	F	viaf:41845684;wikidata:Q3087936	1757	1757	NA	1757	NA	bgrf:57.12	fra	31956	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20072_Riccoboni_Histoire	FRA20072	NA	Histoire du marquis de Cressy: MiMoText edition	NA	NA	F	viaf:1606147270362735700001;wikidata:Q3087936	1758	1758	NA	1814	NA	bgrf:58.17	fra	25958	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20008_Benouville_Pensees	FRA20008	NA	Les pensées errantes ; avec quelques lettres d'un Indien: MiMoText     edition	NA	NA	F	viaf:315731828;wikidata:	1758	1758	NA	1758	NA	bgrf:58.8	fra	35510	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20033_Voltaire_Candide	FRA20033	François-Marie Arouet Voltaire	Candide, ou l'Optimisme: MiMoText edition	1694	1778	M	viaf:36925746;wikidata:Q9068	1759	1759	NA	1791	NA	bgrf:59.25 wikidata:Q215894	fra	31921	NA	NA	short	unspecified	T0
ELTeC-fra-ext2	FRA20006_Prevost_Monde	FRA20006	NA	Le monde moral,: ou mémoires pour servir à l'histoire du cœur humain: MiMoText edition	NA	NA	M	viaf:17228264;wikidata:Q311483	1760	1760	NA	1766	NA	bgrf:60.28	fra	147640	NA	NA	long	unspecified	T0
